#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:30:42       0    448     77      -    100      1      0      0      0      0  10251   2385  21716     46      0      0      0 
 20260818    11:30:43       0    448     72      -    100    100      0      0      0      0  10251   2310  21716     46      0      0      0 
 20260818    11:30:44       0    448     77      -    100      1      0      0      0      0  10251   2415  21716     46      0      0      1 
 20260818    11:30:45       0    443     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:30:46       0    451     78      -    100      1      0      0      0      0  10251   2490  21716     46      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:30:47       0    445     78      -    100      1      0      0      0      0  10251   2490  21716     46      0      0      0 
 20260818    11:30:48       0    451     78      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:30:49       0    446     77      -    100      1      0      0      0      0  10251   2520  21716     46      0      0      0 
 20260818    11:30:50       0    453     78      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:30:52       0    447     76      -    100     42      0      0      0      0  10251   2475  21716     46      0      0      0 
 20260818    11:30:53       0    449     78      -    100      1      0      0      0      0  10251   2460  21716     46      0      0      2 
 20260818    11:30:54       0    444     77      -    100     94      0      0      0      0  10251   2460  21716     46      0      0      0 
 20260818    11:30:55       0    451     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      0      1 
 20260818    11:30:56       0    445     78      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:30:57       0    449     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:30:58       0    449     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
 20260818    11:30:59       0    448     78      -    100      1      0      0      0      0  10251   2430  21716     46      0      4      7 
 20260818    11:31:00       0    448     79      -    100      1      0      0      0      0  10251   2445  21716     46      0      0      0 
